# Time, Roll, Pitch, Yaw, X, Y, Z, T1, T2, T3, T4, WindX, WindY, WindZ
4.100999999999999801e+01,-4.332122639818234977e-01,6.553596733424460474e-01,-3.755389251995120858e+00,9.688138657307071355e+00,9.896798618775600076e+00,1.006596801375369310e+01,2.334835092997902262e-01,4.150214713319091975e-01,2.426570334205178647e-01,4.168379859477827076e-01,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
4.200999999999999801e+01,-3.866272955078925988e-01,5.849661994488692951e-01,-3.830492275675983382e+00,9.678264989059144341e+00,9.897562579247349390e+00,1.006775004443959176e+01,2.384083617390215792e-01,4.108245969240983397e-01,2.463649365870977381e-01,4.124021047497823944e-01,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
4.300999999999999801e+01,-3.451702100297355802e-01,5.222502046819602617e-01,-3.873089144997696742e+00,9.668395840863329482e+00,9.898569284284109315e+00,1.006953026687591191e+01,2.435782631491805184e-01,4.062689514101490151e-01,2.504964316566204441e-01,4.076563537840500739e-01,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
4.400999999999999801e+01,-3.081790703614499805e-01,4.662418604059106464e-01,-3.884959467693946511e+00,9.658532803958006951e+00,9.899819451358908395e+00,1.007130886663389191e+01,2.489249958030086418e-01,4.014129633318984647e-01,2.550095761759544888e-01,4.026524646891385117e-01,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
4.500999999999999801e+01,-2.751033394585206127e-01,4.161449084032355916e-01,-3.867990632776363569e+00,9.648677194050330641e+00,9.901313718587154256e+00,1.007308601070064924e+01,2.544076269023836656e-01,3.963166839228785543e-01,2.598381807755696382e-01,3.974375083991681934e-01,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
4.600999999999999801e+01,-2.455013478423303530e-01,3.713183551397451487e-01,-3.824157248814949117e+00,9.638830074892847932e+00,9.903052657040948503e+00,1.007486184946214713e+01,2.600006346467751417e-01,3.910384278341133002e-01,2.649042621875161707e-01,3.920566753315954389e-01,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
4.700999999999999801e+01,-2.190174366328339062e-01,3.312359340943030750e-01,-3.755501272295238557e+00,9.628992279872859328e+00,9.905036780810350550e+00,1.007663651845669328e+01,2.656815366703694226e-01,3.856325001348165915e-01,2.701309305663238680e-01,3.865550326284901694e-01,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
4.800999999999999801e+01,-1.953522933409180817e-01,2.954427599372952962e-01,-3.664112925351084460e+00,9.619164431621602063e+00,9.907266554895038269e+00,1.007841013984582368e+01,2.714225825011543636e-01,3.801483284123021167e-01,2.754511497988868518e-01,3.809779392876567194e-01,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
4.900999999999999801e+01,-1.742376419350526451e-01,2.635228124227302349e-01,-3.552112490090356456e+00,9.609346960062536525e+00,9.909742401307816806e+00,1.008018282363587126e+01,2.771879963694550142e-01,3.746307266791243373e-01,2.808108852486376761e-01,3.753703917027830239e-01,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
5.000999999999999801e+01,-1.554210612954574910e-01,2.350824465493607240e-01,-3.421633054794820161e+00,9.599540119437783403e+00,9.912464703747625450e+00,1.008195466872642321e+01,2.829357828135816155e-01,3.691207350243437268e-01,2.861676276591650914e-01,3.697758545029096178e-01,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
